                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.56827,                0.80633,                0.50932,                0.97685,                0.57288,                0.53287,                0.56944,                0.39038,                0.59135,                0.50926,                0.55564,                0.33966,                 1.2619,                 1.9002,                 1.4935,                 1.3123,             0.00043205,             0.00043205,             0.00043205
                     56,                0.57583,                0.80503,                0.51863,                 0.9821,                0.65443,                0.45967,                 0.5487,                0.36194,                0.62315,                0.45657,                0.52605,                0.29075,                 1.3288,                 2.0958,                 1.4097,                 1.3482,             0.00042305,             0.00042305,             0.00042305
                     57,                0.57555,                0.81697,                0.51727,                 0.9724,                0.63524,                0.44279,                0.52837,                0.37544,                0.72874,                0.44922,                0.54971,                0.30908,                 1.3187,                 1.9225,                 1.4282,                 1.3718,             0.00041405,             0.00041405,             0.00041405
                     58,                0.56069,                0.79466,                0.50914,                0.97133,                0.62606,                0.56501,                0.60093,                0.39194,                0.62627,                0.55933,                0.59208,                 0.3478,                 1.2686,                 2.0221,                 1.5469,                 1.3524,             0.00040505,             0.00040505,             0.00040505
                     59,                0.55993,                0.79912,                0.49449,                0.96962,                0.60801,                0.52083,                0.57019,                0.41911,                 0.7461,                0.46151,                0.56158,                0.35228,                 1.2113,                 2.0172,                 1.8252,                 1.3267,             0.00039605,             0.00039605,             0.00039605
                     60,                0.56002,                0.79255,                0.49786,                0.96446,                0.68055,                0.46134,                0.56664,                0.39803,                0.68055,                0.46134,                0.55042,                0.33545,                 1.2006,                 1.9178,                 1.7143,                 1.3001,             0.00038705,             0.00038705,             0.00038705
                     61,                0.55401,                0.77514,                0.49211,                0.96556,                0.74795,                0.45507,                 0.5865,                0.39269,                0.73973,                0.45541,                0.55963,                0.33357,                 1.2569,                 1.8591,                 1.6319,                 1.3511,             0.00037805,             0.00037805,             0.00037805
                     62,                0.54994,                0.75057,                0.48756,                0.97325,                0.55668,                0.56874,                0.58749,                0.39316,                 0.6591,                  0.492,                0.57023,                0.33783,                  1.296,                 1.9344,                 1.5254,                 1.4289,             0.00036905,             0.00036905,             0.00036905
                     63,                0.55921,                0.79754,                 0.4871,                0.97593,                0.65482,                0.53073,                0.59502,                0.39445,                0.65511,                0.51631,                0.57613,                0.35002,                 1.3199,                 2.0884,                 1.5815,                 1.4446,             0.00036005,             0.00036005,             0.00036005
                     64,                0.53638,                0.73137,                0.48847,                0.96351,                0.65414,                0.49302,                0.59622,                0.40244,                0.66245,                0.49865,                0.57876,                0.34439,                 1.1636,                 1.9687,                 1.3796,                 1.3272,             0.00035106,             0.00035106,             0.00035106
                     65,                0.53464,                0.73786,                0.47405,                0.96442,                0.55104,                0.56183,                0.54542,                0.37435,                0.52395,                0.53384,                0.51462,                0.30784,                 1.0683,                 2.0188,                 1.4688,                 1.2557,             0.00034206,             0.00034206,             0.00034206
                     66,                0.53962,                0.73438,                 0.4738,                0.96597,                0.55121,                0.61637,                0.59622,                0.40557,                 0.6465,                0.49318,                0.55399,                0.34653,                 1.0688,                 1.9384,                  1.565,                 1.2432,             0.00033306,             0.00033306,             0.00033306
                     67,                0.53941,                0.78042,                0.47868,                0.95977,                0.74726,                0.46903,                 0.5777,                0.39892,                 0.7586,                0.47263,                0.56792,                0.34217,                  1.085,                 1.8782,                 1.8051,                 1.2452,             0.00032406,             0.00032406,             0.00032406
                     68,                0.52696,                0.73978,                0.45927,                0.96689,                0.65453,                0.44496,                0.53224,                0.36129,                0.66046,                0.44551,                0.51983,                0.31026,                  1.258,                 1.8601,                 1.8418,                 1.3311,             0.00031506,             0.00031506,             0.00031506
                     69,                0.52996,                0.74619,                0.47288,                0.96535,                0.63545,                0.42969,                0.52516,                 0.3721,                0.67219,                 0.4309,                0.52996,                0.32278,                 1.2326,                 1.9107,                 1.7861,                 1.3311,             0.00030606,             0.00030606,             0.00030606
                     70,                0.51955,                0.72544,                0.46385,                0.96018,                0.56959,                0.52318,                0.57534,                0.39677,                0.56553,                 0.5276,                 0.5697,                0.35358,                 1.2121,                 1.9418,                 1.8645,                 1.3018,             0.00029706,             0.00029706,             0.00029706
                     71,                0.50272,                0.70276,                0.44976,                0.95529,                0.72198,                0.44684,                0.56857,                 0.3958,                0.74309,                0.45856,                0.56943,                0.34623,                 1.1775,                 1.9858,                 1.9316,                 1.2734,             0.00028806,             0.00028806,             0.00028806
                     72,                0.50934,                0.70843,                 0.4423,                0.95184,                 0.7707,                0.47189,                0.57682,                0.38526,                0.72511,                 0.4459,                0.53998,                 0.3337,                 1.1633,                  1.997,                 1.7244,                 1.2938,             0.00027906,             0.00027906,             0.00027906
                     73,                0.50532,                0.70456,                0.44496,                0.94004,                0.62828,                 0.5318,                0.54465,                0.39681,                0.61652,                0.52232,                0.54522,                0.33381,                 1.0948,                  1.961,                 1.5168,                 1.2324,             0.00027006,             0.00027006,             0.00027006
                     74,                0.50761,                0.71561,                0.44174,                0.94272,                0.65265,                 0.4963,                0.54877,                0.40165,                0.67513,                0.49395,                0.55704,                0.33987,                 1.0788,                 1.8769,                 1.4571,                 1.2273,             0.00026106,             0.00026106,             0.00026106
                     75,                0.48565,                0.71766,                0.42919,                0.94033,                0.65934,                0.48338,                 0.5654,                0.39005,                0.69873,                0.48084,                0.55837,                 0.3466,                 1.2348,                 1.9366,                  1.531,                 1.3165,             0.00025207,             0.00025207,             0.00025207
